query,recall,d1,dk,spread,orphan_neighbours
216,0.7000,1.2773,1.2968,1.0153,0
217,0.7000,1.2465,1.2901,1.0350,0
218,0.7000,1.3095,1.3367,1.0207,0
219,0.9000,1.2945,1.3607,1.0511,0
220,0.8000,0.9901,1.0168,1.0270,0
221,0.5000,0.9925,1.0254,1.0331,0
222,0.4000,1.1040,1.1609,1.0516,0
223,0.7000,1.1166,1.1443,1.0248,0
224,0.8000,0.8782,0.9185,1.0460,0
225,0.6000,1.1879,1.2185,1.0258,0
226,0.8000,1.3136,1.3636,1.0381,0
227,0.6000,1.2651,1.2918,1.0211,0
228,0.5000,1.0617,1.1163,1.0514,0
229,0.9000,1.0520,1.1331,1.0771,0
230,0.8000,1.1119,1.1535,1.0374,0
231,0.7000,1.1265,1.1562,1.0264,0
232,0.8000,1.1230,1.1982,1.0670,0
233,0.9000,0.9812,1.0180,1.0375,0
234,0.9000,1.1727,1.2116,1.0332,0
235,0.8000,1.4147,1.4460,1.0221,0
236,0.7000,1.0754,1.1626,1.0810,0
237,0.6000,1.0266,1.0912,1.0629,0
238,0.9000,1.0673,1.1179,1.0475,0
239,0.7000,1.2548,1.3067,1.0414,0
240,0.8000,0.9586,1.0149,1.0587,0
241,0.7000,1.1187,1.1401,1.0191,0
242,0.7000,1.0926,1.1216,1.0265,0
243,0.8000,1.3263,1.3557,1.0222,0
244,1.0000,0.9807,0.9924,1.0120,0
245,0.4000,1.3796,1.4268,1.0342,0
246,1.0000,0.9962,1.0511,1.0552,0
247,0.7000,1.3095,1.3367,1.0207,0
248,0.3000,1.0909,1.1521,1.0561,1
249,0.8000,1.2457,1.2828,1.0298,0
250,0.8000,0.8986,0.9322,1.0374,0
251,0.6000,1.0774,1.1602,1.0768,0
252,0.7000,0.9329,1.0447,1.1198,0
253,0.7000,1.0822,1.1331,1.0471,0
254,0.7000,1.0346,1.0631,1.0275,0
255,1.0000,0.8945,0.9712,1.0857,0
256,0.5000,1.1586,1.1802,1.0186,0
257,0.5000,0.8982,0.9723,1.0825,0
258,0.9000,1.0312,1.0681,1.0358,0
259,0.9000,1.1071,1.1474,1.0364,0
260,0.3000,1.5305,1.5934,1.0411,0
261,0.7000,1.1995,1.2195,1.0167,0
262,0.7000,0.6093,1.4531,2.3847,0
263,1.0000,0.8115,0.8441,1.0401,0
264,0.7000,0.9158,0.9533,1.0410,0
265,0.7000,1.0815,1.1384,1.0527,0
266,0.9000,0.9223,0.9425,1.0219,0
267,0.8000,1.0575,1.1411,1.0790,0
268,0.8000,0.9966,1.0365,1.0401,0
269,0.6000,1.0905,1.1827,1.0845,0
270,1.0000,0.0000,0.9929,1.0000,0
271,0.9000,1.2271,1.2768,1.0406,0
272,0.9000,1.0347,1.1009,1.0641,0
273,0.9000,0.7398,0.8098,1.0947,0
274,1.0000,0.0000,0.7193,1.0000,0
275,1.0000,0.0000,1.1366,1.0000,0
276,1.0000,1.2657,1.3217,1.0443,0
277,0.8000,1.4314,1.5323,1.0705,0
278,0.8000,0.9865,1.0440,1.0583,0
279,0.7000,1.7279,1.9081,1.1043,0
280,0.8000,0.7099,0.7440,1.0480,0
281,1.0000,0.4426,0.4552,1.0286,0
282,0.5000,0.9019,0.9306,1.0317,0
283,1.0000,0.0000,1.0601,1.0000,0
284,1.0000,0.0000,0.8385,1.0000,0
285,0.6000,1.3469,1.3794,1.0241,0
286,0.9000,0.8467,0.9079,1.0723,0
287,1.0000,0.6952,0.7640,1.0989,0
288,0.8000,1.1214,1.1869,1.0585,0
289,0.9000,1.0666,1.1415,1.0702,0
290,0.3000,1.2328,1.2800,1.0383,0
291,0.5000,0.9603,0.9804,1.0209,0
292,0.6000,1.0999,1.1611,1.0556,0
293,0.8000,1.1488,1.2094,1.0528,0
294,1.0000,0.0000,1.1090,1.0000,0
295,0.7000,1.1885,1.2378,1.0415,0
296,1.0000,1.3720,1.4584,1.0630,0
297,0.7000,0.8047,0.9429,1.1718,0
298,0.3000,1.2337,1.2817,1.0389,0
299,0.8000,1.2162,1.2455,1.0240,0
300,0.9000,0.8291,0.8876,1.0705,0
301,1.0000,1.0490,1.1401,1.0869,0
302,0.5000,1.3617,1.4126,1.0374,0
303,1.0000,0.9049,1.0727,1.1855,0
304,0.9000,1.2284,1.3092,1.0658,0
305,0.7000,1.2086,1.3201,1.0922,0
306,0.6000,0.9824,1.0179,1.0362,0
307,0.2000,1.5387,1.5794,1.0265,0
308,1.0000,0.8493,0.8994,1.0590,0
309,0.6000,1.8225,1.8722,1.0273,1
310,0.9000,0.8559,0.8854,1.0345,0
311,0.6000,1.0448,1.1009,1.0537,0
312,0.5000,1.4531,1.5084,1.0380,0
313,0.9000,1.4294,1.4626,1.0232,0
314,0.8000,1.2021,1.3067,1.0870,0
315,0.7000,1.0572,1.1067,1.0468,0
316,1.0000,0.8394,0.9448,1.1255,0
317,0.9000,0.8832,0.9284,1.0511,0
318,0.9000,0.8104,0.8651,1.0675,0
319,0.6000,1.1464,1.2248,1.0684,0
320,0.6000,1.1702,1.2437,1.0628,0
321,0.6000,1.1908,1.2430,1.0438,0
322,1.0000,1.1049,1.1420,1.0336,0
323,0.8000,1.0283,1.1024,1.0721,0
324,0.5000,1.4805,1.5745,1.0635,0
325,0.8000,1.0825,1.1885,1.0979,0
326,1.0000,0.0895,0.9725,10.8675,0
327,1.0000,0.8919,1.0233,1.1473,0
328,1.0000,0.9044,0.9452,1.0450,0
329,0.5000,1.4127,1.4716,1.0417,0
330,0.2000,1.1706,1.2028,1.0275,0
331,0.9000,0.6852,0.7411,1.0816,0
332,0.9000,0.4872,0.5144,1.0559,0
333,1.0000,0.2386,0.6587,2.7606,0
334,0.8000,1.2435,1.2982,1.0440,0
335,1.0000,0.3409,0.3493,1.0247,0
336,0.8000,0.7661,0.8516,1.1117,0
337,1.0000,1.2099,1.3373,1.1053,0
338,1.0000,0.4847,0.5146,1.0617,0
339,0.5000,1.1822,1.1987,1.0139,0
340,1.0000,0.9826,1.0452,1.0637,0
341,0.8000,0.6403,0.6757,1.0553,0
342,1.0000,0.9981,1.0481,1.0500,0
343,0.6000,1.3504,1.3946,1.0328,0
344,0.9000,1.0997,1.1556,1.0508,0
345,0.6000,1.7134,1.7993,1.0501,0
346,0.9000,1.3335,1.3905,1.0428,0
347,0.6000,1.8089,1.8909,1.0453,0
348,0.8000,1.2068,1.2488,1.0349,0
349,1.0000,0.7739,0.8216,1.0617,0
350,0.4000,1.4715,1.5042,1.0222,0
351,0.4000,1.4224,1.4838,1.0432,0
352,1.0000,0.5684,0.5955,1.0477,0
353,0.9000,1.5471,1.5880,1.0265,0
354,0.9000,1.4226,1.5021,1.0559,0
355,1.0000,0.6367,0.6817,1.0707,0
356,1.0000,0.7084,0.7423,1.0479,0
357,0.7000,0.9478,1.0406,1.0979,0
358,1.0000,1.1533,1.2873,1.1162,0
359,0.9000,1.3306,1.4199,1.0672,0
360,0.9000,0.5609,0.5748,1.0247,0
361,0.9000,0.9348,0.9748,1.0428,0
362,1.0000,0.5217,0.5869,1.1250,0
363,1.0000,0.2704,1.9818,7.3290,0
364,0.9000,1.0423,1.0935,1.0491,0
365,0.9000,0.3879,0.3990,1.0286,0
366,1.0000,0.6012,0.6542,1.0880,0
367,1.0000,0.4435,0.4599,1.0368,0
368,1.0000,0.7308,0.7499,1.0261,0
369,0.9000,0.9737,1.0164,1.0438,0
370,0.6000,0.5931,0.6157,1.0382,0
371,0.5000,1.6529,1.7190,1.0400,0
372,0.8000,0.8647,0.9199,1.0638,0
373,1.0000,0.5246,0.5777,1.1013,0
374,0.7000,1.5524,1.6268,1.0479,0
375,0.5000,1.0576,1.1432,1.0810,0
376,1.0000,0.4186,0.4483,1.0709,0
377,1.0000,0.7979,0.8462,1.0605,0
378,0.9000,0.8965,0.9787,1.0917,0
379,0.9000,0.7373,0.7590,1.0295,0
380,1.0000,0.3099,1.3268,4.2808,0
381,0.6000,1.0867,1.1319,1.0416,0
382,0.9000,0.9986,1.0466,1.0480,0
383,0.7000,1.7297,1.8107,1.0468,0
384,0.5000,1.8023,1.9338,1.0730,0
385,0.7000,1.0888,1.1228,1.0312,0
386,1.0000,0.4145,0.4358,1.0513,0
387,1.0000,1.3864,1.8088,1.3047,0
388,0.8000,1.2117,1.2787,1.0553,0
389,1.0000,0.9089,0.9584,1.0544,0
390,0.8000,1.1942,1.2300,1.0300,0
391,0.6000,1.2186,1.2607,1.0345,0
392,0.8000,1.1287,1.1608,1.0284,0
393,0.4000,0.9817,1.0180,1.0370,0
394,0.7000,1.1468,1.2022,1.0483,0
395,0.9000,0.9150,0.9749,1.0655,0
396,0.8000,1.3541,1.3861,1.0237,0
397,0.6000,1.7818,1.8320,1.0281,0
398,0.4000,1.1318,1.3126,1.1598,0
399,0.5000,1.3096,1.3529,1.0331,0
400,0.8000,1.1402,1.2179,1.0681,0
401,0.7000,1.2818,1.3071,1.0198,0
402,0.9000,1.5100,1.6120,1.0675,0
403,0.3000,1.1082,1.1423,1.0308,0
404,0.7000,0.9711,1.0151,1.0453,0
405,0.8000,1.1828,1.2390,1.0475,0
406,0.7000,1.1328,1.1496,1.0148,0
407,0.8000,0.8232,0.8776,1.0661,0
408,0.5000,1.1856,1.2253,1.0335,0
409,0.6000,1.4568,1.4871,1.0208,0
410,0.2000,1.2480,1.2794,1.0251,0
411,0.4000,1.3740,1.4238,1.0362,0
412,0.9000,1.1276,1.2002,1.0644,0
413,0.7000,1.2778,1.3095,1.0248,0
414,0.6000,0.3749,1.2305,3.2820,1
415,1.0000,0.9351,0.9797,1.0478,0
416,0.6000,1.2090,1.2341,1.0208,0
417,0.3000,0.2263,1.3331,5.8897,0
418,0.7000,1.1016,1.1449,1.0393,0
419,0.7000,1.2602,1.3113,1.0405,0
420,0.5000,1.3164,1.3545,1.0289,1
421,0.9000,1.3193,1.4789,1.1210,0
422,0.8000,0.8429,0.8899,1.0557,0
423,0.5000,1.1123,1.1478,1.0319,0
424,1.0000,0.9068,0.9628,1.0618,0
425,0.4000,1.0755,1.0970,1.0199,0
426,1.0000,0.7700,0.8483,1.1017,0
427,0.7000,0.8971,0.9375,1.0450,0
428,0.8000,1.0199,1.0358,1.0156,0
429,0.9000,1.0453,1.1039,1.0560,0
430,0.6000,1.0382,1.0935,1.0532,0
431,0.7000,1.2685,1.3956,1.1002,0
432,0.2000,1.4872,1.5346,1.0319,0
