query,recall,d1,dk,spread,orphan_neighbours
287,1.0000,222.8430,239.9312,1.0767,0
288,1.0000,245.1387,262.4729,1.0707,0
289,1.0000,229.3098,245.2998,1.0697,0
290,0.9000,189.8894,208.8899,1.1001,0
291,1.0000,184.9703,193.5846,1.0466,0
292,1.0000,199.4242,224.0982,1.1237,0
293,0.9000,214.8115,232.7832,1.0837,0
294,0.9000,194.3862,204.3795,1.0514,0
295,1.0000,206.2789,233.3110,1.1310,0
296,1.0000,197.8105,220.8823,1.1166,0
297,1.0000,225.8229,256.9669,1.1379,0
298,0.9000,240.8672,266.6196,1.1069,0
299,1.0000,200.4595,214.1261,1.0682,0
300,0.7000,243.2941,271.7223,1.1168,0
301,1.0000,187.1042,214.8534,1.1483,0
302,1.0000,225.5593,250.4416,1.1103,0
303,1.0000,171.9070,191.3635,1.1132,0
304,0.8000,231.5448,242.6767,1.0481,0
305,0.7000,240.4808,251.5094,1.0459,0
306,1.0000,176.4681,206.3783,1.1695,0
307,0.9000,248.2599,264.6942,1.0662,0
308,1.0000,218.8812,258.5382,1.1812,0
309,1.0000,226.0022,246.0305,1.0886,0
310,0.5000,268.3002,284.6243,1.0608,0
311,0.8000,227.0947,241.8946,1.0652,0
312,1.0000,233.3388,244.2437,1.0467,0
313,1.0000,258.6677,279.4155,1.0802,0
314,1.0000,62.8411,223.0224,3.5490,0
315,1.0000,172.4500,247.2327,1.4336,0
316,1.0000,170.6898,221.3956,1.2971,0
317,1.0000,241.3607,261.4020,1.0830,0
318,0.9000,219.4448,245.9126,1.1206,0
319,0.9000,237.1793,243.6986,1.0275,0
320,1.0000,133.1728,277.1804,2.0814,0
321,1.0000,252.7073,271.6192,1.0748,0
322,1.0000,210.7226,228.5038,1.0844,0
323,1.0000,167.7826,214.5903,1.2790,0
324,0.9000,207.5283,231.3482,1.1148,0
325,0.8000,145.1723,241.4353,1.6631,0
326,0.8000,239.1318,254.0000,1.0622,0
327,1.0000,96.2912,163.2513,1.6954,0
328,1.0000,142.9720,160.9627,1.1258,0
329,0.8000,236.5333,274.9145,1.1623,0
330,1.0000,140.8758,193.4244,1.3730,0
331,0.9000,199.3790,214.2032,1.0744,0
332,1.0000,177.0706,209.5877,1.1836,0
333,0.8000,172.8583,202.8497,1.1735,0
334,1.0000,197.7903,220.3815,1.1142,0
335,1.0000,203.4576,233.5230,1.1478,0
336,1.0000,189.3225,203.0665,1.0726,0
337,1.0000,194.7100,214.3828,1.1010,0
338,0.9000,214.4085,235.7138,1.0994,0
339,1.0000,195.8801,213.2745,1.0888,0
340,1.0000,186.0027,201.7746,1.0848,0
341,1.0000,162.9570,192.9870,1.1843,0
342,1.0000,206.3129,218.9018,1.0610,0
343,1.0000,150.8476,238.6420,1.5820,0
344,1.0000,210.8127,237.5247,1.1267,0
345,1.0000,174.3846,244.0430,1.3995,0
346,0.9000,226.1062,258.4473,1.1430,0
347,0.9000,109.9818,229.0720,2.0828,0
348,1.0000,213.6516,223.3182,1.0452,0
349,1.0000,123.8184,181.2926,1.4642,0
350,1.0000,209.4111,217.3891,1.0381,0
351,1.0000,165.9096,181.2953,1.0927,0
352,1.0000,200.5642,207.9543,1.0368,0
353,1.0000,211.3599,224.9089,1.0641,0
354,1.0000,200.1574,223.4636,1.1164,0
355,0.9000,205.7037,218.7716,1.0635,0
356,1.0000,163.6918,253.3930,1.5480,0
357,1.0000,160.4774,226.8546,1.4136,0
358,1.0000,181.3146,243.3064,1.3419,0
359,1.0000,250.2079,272.6004,1.0895,0
360,1.0000,221.9707,239.9062,1.0808,0
361,0.9000,238.6881,259.2952,1.0863,0
362,0.9000,225.8185,243.5118,1.0784,0
363,1.0000,180.7982,191.3557,1.0584,0
364,0.9000,205.8932,245.8577,1.1941,0
365,1.0000,116.8888,207.9183,1.7788,0
366,1.0000,221.7792,243.1563,1.0964,0
367,1.0000,217.3016,246.1341,1.1327,0
368,0.9000,198.8718,210.4186,1.0581,0
369,0.8000,197.3525,216.2221,1.0956,0
370,0.9000,94.8736,213.5158,2.2505,0
371,1.0000,94.7312,201.0149,2.1220,0
372,1.0000,220.2862,255.2587,1.1588,0
373,1.0000,127.5421,181.2678,1.4212,0
374,1.0000,174.4190,189.5758,1.0869,0
375,0.8000,245.6542,259.9442,1.0582,0
376,1.0000,208.7199,222.9484,1.0682,0
377,1.0000,174.3273,195.6962,1.1226,0
378,1.0000,106.0047,236.7277,2.2332,0
379,1.0000,244.4095,260.9119,1.0675,0
380,1.0000,222.1891,246.6232,1.1100,0
381,1.0000,205.7353,251.9782,1.2248,0
382,1.0000,239.1610,280.4710,1.1727,0
383,0.9000,239.3805,254.9588,1.0651,0
384,1.0000,199.4467,208.5689,1.0457,0
385,0.8000,221.9212,246.2661,1.1097,0
386,1.0000,214.9163,225.0889,1.0473,0
387,1.0000,207.7426,243.3619,1.1715,0
388,0.9000,237.5837,242.2416,1.0196,0
389,0.9000,179.3265,213.1220,1.1885,0
390,1.0000,226.7510,242.9053,1.0712,0
391,1.0000,218.7396,226.8766,1.0372,0
392,1.0000,232.8712,253.1344,1.0870,0
393,1.0000,161.0528,174.9343,1.0862,0
394,1.0000,212.6711,229.8086,1.0806,0
395,1.0000,178.1965,212.7581,1.1940,0
